unique_input_record_identifier	input_title	lookup_key	input_writers	input_performers	database_song_code	database_song_title	database_song_writers
4nYysvyXvE31PB8KVJWDoM	Who Dat	WHODAT	Christopher A. Stewart,Diandre Davis,JT Money,Thabiso Nkhereanye,Tony Mercedes,Tonya Johnston	JT Money	0119432337	WHO DAT	DAVIS/JOHNSTON/NKHEREANYE/STEWART/THOMPK
79xLmqnrSLtzrTlCOkmTmq	Call Upon	CALUPON	Samuel Gray,Steve Manovski	Penthox	0154676411	CALL UPON	GRAY S/MANOVSKI S/ESTRADE L/SUNDBAUM E
4x9Aig6PzVapoeeYoNocYC	Opened	OPENED	Patrick Robert Lynch,Philip Andrews Duchesne,Sergio Andres Barrera	Horizons	0153496331	OPENED	PATRICK ROBERT LYNCH/PHILIP ANDREWS DUCH
3YAoxvQt6hpSbmQ9HIom01	Rugged Country	RUGEDCOUNTRY	Michelle Zauner	Japanese Breakfast	0149731795	RUGGED COUNTRY	ZAUNER MICHELLE CHONGMI
0tGIRDsFl3j5TMbK7nK2Ji	The Great Water Sequel	GREATWATERSEQUEL	Fredric Lindblom,Robin Eveborn	Last Lynx	0155357834	THE GREAT WATER SEQUEL	FREDRIC LINDBLOM/FREDRIC LINDBLOM/ROBIN
5vBCcgTVe22nwY3EGMXdvh	Dixie Boogie	DIXIEBOOGIE	Atwell,T Rad	Winifred Atwell	0102380202	DIXIE BOOGIE	ATWELL WINIFRED
38casNXY2G39SZRUjALtcY	How I Roll	HOWIROL	Bonnie McKee,Christian Karlsson,Henrik Jonback,Magnus LidehÃÂ¤ll,Nicole Morier,Pontus Winnberg	Britney Spears	0140782333	HOW I ROLL	KARLSSON/WINNBERG/LIDEHALL/JONBACK/MCKEE
4I08B4Z8l5jroZYupuna8h	Please Come Back	PLEASECOMEBACK	Dag Sindre Vagle	Helldorado	0147424715	PLEASE COME BACK	DAG SINDRE VAGLE/DAG SINDRE VAGLE
2nwBoEYXhXKsLp0A88DZI4	The Photographer: Act II	PHOTOGRAPHERACTII	Philip Glass	Philip Glass Ensemble	0142708479	THE PHOTOGRAPHER: ACT II	PHILIP GLASS
528YVqE16CenL0aLYrJOej	Yang Terlewatkan	YANGTERLEWATKAN	Eross Chandra	Sheila On 7	0138000002	YANG TERLEWATKAN	CANDRA EROSS
